41 (JX_spec.dat)  scattering phase fns (NEW v-6.1 mjp 4/07 see notes at end)
ATAU   250     1.180     0.010  CLOUD-top sub-layers: max#, factor, min dtau
 300 2.0000 1.0000 2.435 3.712 4.756 5.960 6.908 7.865 8.954
 400 2.0000 1.0000 2.435 3.712 4.756 5.960 6.908 7.865 8.954
 600 2.0000 1.0000 2.435 3.712 4.756 5.960 6.908 7.865 8.954
 999 2.0000 1.0000 2.435 3.712 4.756 5.960 6.908 7.865 8.954
13 Ice-Irregular (Mishchencko)                    reff=50.00___G=999.9_rho=0.917
 200 2.0000 1.0000 2.257 3.164 4.096 5.088 6.018 6.897 7.794
 300 2.0000 1.0000 2.257 3.164 4.096 5.088 6.018 6.897 7.794
 400 2.0000 1.0000 2.257 3.164 4.096 5.088 6.018 6.897 7.794
 600 2.0000 1.0000 2.257 3.164 4.096 5.088 6.018 6.897 7.794
 999 2.0000 1.0000 2.257 3.164 4.096 5.088 6.018 6.897 7.794
14 S-Bkg   LOGN:r=.090 s=.600 n=1.514/.../1.435   reff=0.221___G=.0523_rho=1.630
 200 2.8513 1.0000 2.043 2.738 2.602 2.740 2.490 2.434 2.239
 300 2.7872 1.0000 2.130 2.726 2.564 2.403 2.046 1.756 1.484
 400 2.3981 1.0000 2.148 2.644 2.426 2.126 1.713 1.361 1.073
 600 1.5960 1.0000 2.094 2.409 2.067 1.650 1.215 0.876 0.623
 999 0.6808 1.0000 1.900 1.966 1.467 1.020 0.653 0.417 0.259
15 S-Vol   LOGN:r=.080 s=.800 n=1.514/.../1.435   reff=0.386___G=.0721_rho=1.630
 200 2.5935 1.0000 2.092 2.914 2.880 3.295 3.185 3.430 3.379
 300 2.6669 1.0000 2.121 2.861 2.792 2.936 2.733 2.703 2.568
 400 2.5588 1.0000 2.144 2.813 2.711 2.695 2.425 2.257 2.069
 600 2.1893 1.0000 2.149 2.713 2.547 2.362 2.018 1.740 1.499
 999 1.4540 1.0000 2.118 2.537 2.277 1.951 1.555 1.229 0.972
16 UT-sulfate LOGN:r=0.05 s=.693 n=1.44           reff=0.166___G=.0205_rho=1.769
 200 2.6077 1.0000 2.184 2.844 2.752 2.646 2.333 2.074 1.836
 300 2.1375 1.0000 2.165 2.685 2.493 2.224 1.832 1.498 1.224
 400 1.6727 1.0000 2.126 2.534 2.262 1.911 1.496 1.156 0.891
 600 1.0093 1.0000 2.024 2.262 1.874 1.458 1.053 0.753 0.533
 999 0.4118 1.0000 1.810 1.846 1.340 0.923 0.593 0.383 0.243 
17 UT-sulfate LOGN:r=0.05 s=.693 n=1.46           reff=0.166___G=.0205_rho=1.769
 200 2.6482 1.0000 2.145 2.778 2.652 2.553 2.236 1.997 1.76
 300 2.2061 1.0000 2.129 2.621 2.399 2.131 1.741 1.424 1.15
 400 1.7456 1.0000 2.093 2.473 2.177 1.827 1.417 1.092 0.83
 600 1.0694 1.0000 1.997 2.210 1.806 1.393 0.996 0.708 0.49
 999 0.4429 1.0000 1.792 1.811 1.298 0.885 0.562 0.360 0.22
18 UM-SULFate LOGN:r=.050 s=.642 n=1.53           reff=0.140___G=.0179_rho=1.769
 200 2.7571 1.0000 2.018 2.518 2.263 2.114 1.746 1.526 1.267
 300 2.2755 1.0000 2.002 2.337 1.993 1.678 1.278 0.999 0.752
 400 1.7509 1.0000 1.958 2.169 1.756 1.369 0.974 0.706 0.491
 600 1.0091 1.0000 1.844 1.881 1.383 0.966 0.618 0.405 0.252
 999 0.3735 1.0000 1.601 1.476 0.910 0.543 0.298 0.171 0.092
19 UM-BC1     LOGN:r=.050 s=.642 n=1.80+0.50i     reff=0.140___G=.0179_rho=1.500
 200 2.6373 0.4740 2.291 2.995 3.222 3.163 2.949 2.668 2.364
 300 2.5527 0.4559 2.087 2.446 2.342 2.052 1.714 1.403 1.131
 400 2.3632 0.4383 1.920 2.067 1.792 1.430 1.090 0.823 0.614
 600 1.9166 0.4022 1.666 1.597 1.174 0.807 0.531 0.353 0.234
 999 1.2247 0.3319 1.333 1.144 0.651 0.361 0.192 0.107 0.060
20 UM-BC2     LOGN:r=.080 s=.501 n=1.80+0.50i     reff=0.150___G=.0332_rho=1.500
 200 2.6725 0.4796 2.385 3.244 3.602 3.603 3.381 3.037 2.643
 300 2.7145 0.4660 2.176 2.614 2.535 2.201 1.787 1.397 1.060
 400 2.6092 0.4522 1.987 2.137 1.832 1.403 1.001 0.695 0.468
 600 2.1953 0.4173 1.675 1.533 1.059 0.659 0.378 0.216 0.120
 999 1.3929 0.3372 1.242 0.992 0.477 0.216 0.089 0.038 0.016
21 UM-BB08 (%BC)LOGN:r=.080 s=.500 n=1.552+0.04i  reff=0.149___G=.0331_rho=1.230
 200 2.9853 0.7787 2.199 2.772 2.759 2.596 2.303 1.980 1.672
 300 2.7034 0.8202 2.132 2.471 2.226 1.825 1.409 1.047 0.763
 400 2.1718 0.8301 2.047 2.204 1.814 1.341 0.925 0.618 0.400
 600 1.2795 0.8191 1.851 1.762 1.224 0.766 0.440 0.251 0.136
 999 0.4738 0.7554 1.457 1.209 0.616 0.294 0.127 0.058 0.025
22 UM-FF04 (%BC) LOGN:r=.050 s=.642 n=1.541+0.02i reff=0.140___G=.0179_rho=1.212
 200 2.7363 0.8680 2.112 2.600 2.457 2.267 1.953 1.689 1.434
 300 2.2854 0.8903 2.058 2.369 2.080 1.732 1.353 1.053 0.808
 400 1.7867 0.8968 1.995 2.179 1.797 1.388 1.006 0.727 0.515
 600 1.0629 0.8936 1.860 1.873 1.387 0.959 0.621 0.404 0.256
 999 0.4193 0.8646 1.602 1.459 0.899 0.530 0.291 0.166 0.090
23 UM-FF10 (%BC)LOGN:r=.050 s=.642 n=1.557+0.05i  reff=0.140___G=.0179_rho=1.230
 200 2.7087 0.7472 2.198 2.703 2.664 2.469 2.191 1.903 1.639
 300 2.2992 0.7773 2.109 2.410 2.169 1.806 1.441 1.127 0.878
 400 1.8365 0.7849 2.027 2.191 1.837 1.415 1.042 0.755 0.543
 600 1.1386 0.7756 1.872 1.860 1.386 0.951 0.621 0.403 0.259
 999 0.4850 0.7225 1.597 1.436 0.882 0.512 0.282 0.159 0.088
24 MDust.15  (R.V. Martin generated phase fns)    reff=0.150___G=1.000_rho=2.600
 200 3.0039  0.884 2.030 2.363 2.082 1.710 1.290 0.941 0.638
 300 3.0039  0.884 2.030 2.363 2.082 1.710 1.290 0.941 0.638
 400 2.4763  0.937 1.988 2.151 1.735 1.248 0.809 0.503 0.279
 600 1.2768  0.979 1.816 1.675 1.075 0.604 0.281 0.132 0.049
 999 0.3595  0.958 1.320 0.994 0.377 0.126 0.031 0.008 0.001
25 MDust.25  (R.V. Martin generated phase fns)    reff=0.250___G=1.000_rho=2.600
 200 2.9406  0.820 2.046 2.643 2.593 2.634 2.406 2.244 1.944
 300 2.9406  0.820 2.046 2.643 2.593 2.634 2.406 2.244 1.944
 400 3.1046  0.913 2.021 2.486 2.264 2.047 1.671 1.362 1.039
 600 2.6144  0.980 2.026 2.296 1.926 1.470 1.013 0.668 0.403
 999 1.2426  0.974 1.824 1.689 1.087 0.611 0.286 0.134 0.050
26 MDust.40  (R.V. Martin generated phase fns)    reff=0.400___G=1.000_rho=2.600
 200 2.6069  0.739 2.192 3.070 3.393 3.903 4.021 4.248 4.168
 300 2.6069  0.739 2.192 3.070 3.393 3.903 4.021 4.248 4.168
 400 2.8244  0.860 2.027 2.711 2.679 2.900 2.734 2.723 2.478
 600 3.1156  0.971 2.017 2.537 2.306 2.136 1.761 1.466 1.151
 999 2.4773  0.975 2.036 2.286 1.903 1.428 0.966 0.623 0.368
27 MDust.80  (R.V. Martin generated phase fns)    reff=0.800___G=1.000_rho=2.600
 200 2.3457  0.640 2.517 3.780 4.729 5.755 6.524 7.339 7.903
 300 2.3457  0.640 2.517 3.780 4.729 5.755 6.524 7.339 7.903
 400 2.4344  0.763 2.295 3.320 3.800 4.578 4.913 5.482 5.662
 600 2.6416  0.936 2.023 2.830 2.805 3.279 3.178 3.418 3.275
 999 3.0396  0.957 2.019 2.618 2.441 2.414 2.106 1.895 1.610
28 MDust1.5  (R.V. Martin generated phase fns)    reff=1.500___G=1.000_rho=2.600
 200 2.2228  0.579 2.705 4.250 5.641 7.023 8.293 9.53910.662
 300 2.2228  0.579 2.705 4.250 5.641 7.023 8.293 9.53910.662
 400 2.2732  0.676 2.539 3.821 4.771 5.881 6.738 7.733 8.463
 600 2.3707  0.890 2.240 3.259 3.544 4.375 4.592 5.292 5.471
 999 2.5751  0.913 2.083 2.944 3.008 3.555 3.538 3.852 3.789
29 MDust2.5  (R.V. Martin generated phase fns)    reff=2.500___G=1.000_rho=2.600
 200 2.1579  0.556 2.780 4.476 6.085 7.664 9.18610.67312.096
 300 2.1579  0.556 2.780 4.476 6.085 7.664 9.18610.67312.096
 400 2.1923  0.616 2.678 4.164 5.458 6.813 8.046 9.32510.461
 600 2.2560  0.842 2.391 3.526 4.044 5.035 5.527 6.483 6.961
 999 2.3716  0.869 2.268 3.300 3.634 4.458 4.720 5.401 5.624
30 MDust4.0  (R.V. Martin generated phase fns)    reff=4.000___G=1.000_rho=2.600
 200 2.1154  0.550 2.809 4.574 6.281 7.960 9.60711.22412.806
 300 2.1154  0.550 2.809 4.574 6.281 7.960 9.60711.22412.806
 400 2.1402  0.577 2.761 4.405 5.941 7.485 8.97410.46211.878
 600 2.1852  0.786 2.505 3.744 4.488 5.599 6.354 7.485 8.238
 999 2.2637  0.819 2.413 3.563 4.133 5.118 5.652 6.582 7.097
31 BCFF_PHO LOGN:r=.0118 s=0.693 n=1.5-1.75       reff=0.039___G=.0011_rho=1.000
 200 1.2135 0.3262 1.744 1.752 1.313 0.916 0.617 0.417 0.283
 300 1.0600 0.3127 1.361 1.201 0.711 0.411 0.232 0.136 0.081
 400 0.7532 0.2671 1.190 1.018 0.515 0.263 0.132 0.071 0.038
 600 0.4280 0.1917 0.961 0.830 0.326 0.137 0.058 0.027 0.013
 999 0.2156 0.0951 0.675 0.667 0.174 0.055 0.018 0.007 0.003
32 BCFF_PHI LOGN:r=.0118 s=0.693 n=1.5-1.75       reff=0.039___G=.0011_rho=1.000
 200 1.8203 0.3262 1.744 1.752 1.313 0.916 0.617 0.417 0.283
 300 1.5900 0.3127 1.361 1.201 0.711 0.411 0.232 0.136 0.081
 400 1.1298 0.2671 1.190 1.018 0.515 0.263 0.132 0.071 0.038
 600 0.6420 0.1917 0.961 0.830 0.326 0.137 0.058 0.027 0.013
 999 0.3234 0.0951 0.675 0.667 0.174 0.055 0.018 0.007 0.003
33 BCOCBB   BI-LOGN:r1/r2=.08/.16 s1/s2=.405/.223 reff=0.080___G=.0112_rho=1.350
 200 2.3055 0.9133 2.050 2.250 1.854 1.395 0.974 0.668 0.445
 300 1.3352 0.9094 1.879 1.842 1.318 0.855 0.501 0.279 0.137
 400 0.7688 0.8946 1.679 1.504 0.906 0.481 0.211 0.091 0.031
 600 0.2994 0.8495 1.301 1.010 0.393 0.136 0.035 0.009 0.002
 999 0.0785 0.7257 0.689 0.624 0.125 0.019 0.002 0.000 0.000
34 GMDUST1  (DUST BIN 1)                          reff=0.061___G=0.012_rho=2.600
 200 1.5932 0.9890 1.896 1.385 0.520 0.161 0.030 0.004 0.000
 300 0.4522 0.9841 1.012 0.685 0.189 0.028 0.002 0.000 0.000
 400 0.1687 0.9761 0.530 0.552 0.099 0.008 0.000 0.000 0.000
 600 0.0320 0.9415 0.229 0.510 0.044 0.002 0.000 0.000 0.000
 999 0.0045 0.7908 0.082 0.501 0.016 0.000 0.000 0.000 0.000
35 GMDUST2  (DUST BIN 2)                          reff=0.135___G=0.057_rho=2.600
 200 4.2864 0.9889 2.230 3.056 3.107 3.092 2.714 2.129 1.448
 300 3.1858 0.9923 2.225 2.513 2.098 1.187 0.402 0.123 0.025
 400 1.8473 0.9925 1.893 1.625 0.748 0.283 0.065 0.010 0.001
 600 0.5079 0.9887 1.269 0.800 0.254 0.047 0.005 0.000 0.000
 999 0.0865 0.9706 0.409 0.532 0.080 0.005 0.000 0.000 0.000
36 GMDUST3  (DUST BIN 3)                          reff=0.297___G=0.277_rho=2.600
 200 2.4109 0.9628 2.165 3.167 3.402 4.294 4.509 4.954 4.915
 300 2.6120 0.9797 1.921 2.510 2.312 2.567 2.520 2.771 2.973
 400 4.0462 0.9917 2.269 3.089 3.307 3.322 3.154 2.591 1.933
 600 3.0479 0.9944 2.271 2.710 2.352 1.537 0.688 0.269 0.066
 999 1.0058 0.9916 1.932 1.382 0.532 0.158 0.029 0.004 0.000
37 GMDUST4  (DUST BIN 4)                          reff=0.638___G=1.279_rho=2.600
 200 2.0450 0.9189 2.213 3.239 3.385 4.225 4.312 5.026 5.197
 300 2.2180 0.9325 2.191 3.098 3.136 3.839 3.671 4.055 3.715
 400 2.6834 0.9702 2.145 3.297 3.614 4.582 4.964 5.551 5.723
 600 2.8065 0.9850 1.929 2.691 2.526 2.735 2.694 2.873 3.104
 999 3.7273 0.9946 2.395 3.156 3.297 2.930 2.280 1.369 0.580
38 GMDUST5  (DUST BIN 5)                          reff=1.349___G=5.717_rho=2.600
 200 2.2533 0.8748 2.525 3.788 4.475 5.550 6.255 7.348 8.177
 300 2.1760 0.9004 2.390 3.514 3.903 4.803 5.183 6.113 6.686
 400 1.9974 0.9337 2.264 3.289 3.422 4.134 4.232 4.898 5.132
 600 2.4346 0.9608 2.193 3.283 3.542 4.370 4.426 4.941 4.986
 999 2.0211 0.9747 1.628 2.212 1.595 1.604 1.356 1.504 1.652
39 GMDUST6  (DUST BIN 6)                          reff=2.840___G=25.33_rho=2.600
 200 2.0580 0.7690 2.606 3.932 4.810 5.953 6.875 8.097 9.111
 300 2.0682 0.8370 2.521 3.769 4.404 5.423 6.076 7.168 7.960
 400 2.2382 0.8959 2.518 3.782 4.427 5.497 6.132 7.194 7.976
 600 2.0168 0.9309 2.390 3.500 3.825 4.582 4.826 5.538 6.086
 999 2.1643 0.9505 2.331 3.403 3.582 4.102 4.239 4.724 5.055
40 GMDUST7  (DUST BIN 7)                          reff=6.050___G=115.0_rho=2.600
 200 2.0451 0.6532 2.740 4.267 5.577 6.967 8.335 9.80611.215
 300 2.1034 0.7430 2.672 4.087 5.126 6.342 7.441 8.762 9.949
 400 2.1128 0.8069 2.607 3.945 4.787 5.894 6.777 7.968 8.984
 600 2.0985 0.8824 2.551 3.835 4.505 5.483 6.158 7.155 8.037
 999 2.1169 0.9160 2.425 3.632 4.111 5.043 5.502 6.344 6.979
41 GMDUST8  (DUST BIN 8)                          reff=13.17___G=544.9_rho=2.600
 200 2.0379 0.5697 2.832 4.587 6.279 7.979 9.69311.41913.136
 300 2.0458 0.6222 2.782 4.393 5.848 7.343 8.84810.41411.950
 400 2.0675 0.6888 2.727 4.223 5.442 6.757 8.036 9.44910.801
 600 2.0646 0.7869 2.654 4.037 4.972 6.068 7.042 8.216 9.354
 999 2.1054 0.8623 2.595 3.927 4.684 5.632 6.402 7.374 8.344
============================================================================

With v-6.1, the format of this scattering data set has been changed.
A new 200-nm line has been added (to do Pinatubo in the stratosphere) and 
for 6.1, the entries for r-eff, Q-ext, and rho(density) are in the title line.
Entries have been re-ordered to put CLOUDS first: 4 through 
------
01 RAYLEIGH Rayleigh phase 1/w^4
02 ISOTROPIC                    
03 ABSORBING
------
CLOUDS    H1 is Deirmendjian's Haze #1, C1 is the water cloud #1
------
04 W_H01 (H1/Deirm.)GAMMA:r-mode=0.1/alfa=2 r=.25 s=.20 n=1.335 ref=0.25 G=.094
05 W_H04 (H1/Deirm.)GAMMA:r-mode=0.4/alfa=2 r=1.0 s=.20 n=1.335 ref=1.00 G=1.51
06 W_H40 (H1/Deir)GAMMA:r-m=4.0/alf=2 n=1.335     reff=10.00___G=146.4_rho=1.000
07 W_C02 (C1/Deirm.)GAMMA:r-mode=2.0/alfa=6 r=3.0 s=.111n=1.335 ref=3.0 G=19.5
08 W_C04 (C1/Deirm.)GAMMA:r-mode=4.0/alfa=6 r=6.0 s=.111n=1.335 ref=6.0 G=78.2
09 W_C08 (C1/Deirm.)GAMMA:r-mode=8.0/alfa=6 r=12. s=.111n=1.335 ref=12. G=301.
10 W_C13 (C1/Deirm.)GAMMA:r-mode=13.3alfa=6 r=3.0 s=.111n=1.335 ref=20. G=472.
11 W_L06 (W/Lacis)GAM:r-mode=5.5 alfa=11/3 r=10. s=.15 n=1.335 ref=10. G=194.
12 Ice-H = hexagonal ice cloud (Mishchenko)
13 Ice-I = irregular ice cloud (Mishchenko)
--------
AEROSOLS
--------
14 S-Bkg LOGN:r=.090 s=.600 reff=.221 G=0.0523 n=1.514/1.473/1.459/1.448/1.435
15 S-Vol LOGN:r=.080 s=.800 reff=.386 G=0.0721 n=1.514/1.473/1.459/1.448/1.435
16 UT-sulfate LOGN:r=0.05 s=.693 n=1.44           reff=0.166___G=.0205_rho=1.769
17 UT-sulfate LOGN:r=0.05 s=.693 n=1.46           reff=0.166___G=.0205_rho=1.769
   a new Upper Trop sulfate (with two different refractive indexes)
18 UM-SULFate LOGN:r=.050 s=.642 n=1.53           reff=0.140___G=.0179_rho=1.769
19 UM-BC1     LOGN:r=.050 s=.642 n=1.80+0.50i     reff=0.140___G=.0179_rho=1.500
20 UM-BC2     LOGN:r=.080 s=.501 n=1.80+0.50i     reff=0.150___G=.0332_rho=1.500
21 UM-BB08 (%BC)LOGN:r=.080 s=.500 n=1.552+0.04i  reff=0.149___G=.0331_rho=1.230
22 UM-FF04(%BC) LOGN:r=.050 s=.642 n=1.541+0.02i  reff=0.140___G=.0179_rho=1.212
23 UM-FF10 (%BC)LOGN:r=.050 s=.642 n=1.557+0.05i  reff=0.140___G=.0179_rho=1.230
   The UMichigan aerosol properties below are derived from the UCI Mie code
   using the best available doc for the particle size distribution and 0% RH
   (ie, dry) >>> The approximately match the UMaer data, but have complete 
   scattering phase functions.
   Note that the log-normal with s=0.693 is also described incorrectly as sigma=2.
24 Mdust .15 (R.V. Martin generated phase fns)
25 Mdust .25 (R.V. Martin generated phase fns)
26 Mdust 0.4 (R.V. Martin generated phase fns)
27 Mdust 0.8 (R.V. Martin generated phase fns)
28 Mdust 1.5 (R.V. Martin generated phase fns)
29 Mdust 2.5 (R.V. Martin generated phase fns)
30 Mdust 4.0 (R.V. Martin generated phase fns)
   entries from RV Martin have been shifted have 200-nm line = 300-nm data.
   MJP does NOT have access to the size distrib/refract index to regenerate these. 



wt% sulfuric acid   rho
100.0 %      1.8305
94.0 %       1.8312
90.0 %       1.8144
84.0 %       1.7693
80.0 %       1.7272
74.0 %       1.6574
70.0 %       1.6105
64.0 %       1.5421
60.0 %       1.4987
54.0 %       1.4351
50.0 %       1.3952
44.0 %       1.3386
40.0 %       1.3028
34.0 %       1.2518
30.0 %       1.2191
24.0 %       1.1714
20.0 %       1.1398
14.0 %       1.0874
10.0 %       1.0661
 5.0 %       1.0318
 1.0 %       1.0049

Use of infrared transmission spectra in obtaining the effective radius and 
sulfate weight percent of stratospheric aerosols, Steele, H.; Eldering, A.; 
Sen, B.; Toon, G.   	EGU, 04/2003

IR transmission spectra were recorded by the MkIV interferometer during flights 
aboard the DC-8 aircraft as part of the AASE2 mission in the early months of 1992.
...
The effective radius of the aerosols is found to be between 0.4 and 0.6 microns,
...the best fit to the measured spectra is a 70 -- 75% sulfuric acid solution...

============================================================================

